danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.465,0.368,7,-4.41,0,0.0302,0.968,0.927,0.121,0.337,85.004,audio_features,23KOnwZFxOoZGqQroRLTZi,spotify:track:23KOnwZFxOoZGqQroRLTZi,https://api.spotify.com/v1/tracks/23KOnwZFxOoZGqQroRLTZi,https://api.spotify.com/v1/audio-analysis/23KOnwZFxOoZGqQroRLTZi,193600,4
0.236,0.261,2,-13.647,1,0.0374,0.955,0.0245,0.424,0.106,93.383,audio_features,1WrPa4lrIddctGWAIYYfP9,spotify:track:1WrPa4lrIddctGWAIYYfP9,https://api.spotify.com/v1/tracks/1WrPa4lrIddctGWAIYYfP9,https://api.spotify.com/v1/audio-analysis/1WrPa4lrIddctGWAIYYfP9,195067,3
0.661,0.356,5,-14.396,1,0.229,0.9,0.00121,0.642,0.801,111.19,audio_features,16Ekkvg5dxPVdDo5Ys30j8,spotify:track:16Ekkvg5dxPVdDo5Ys30j8,https://api.spotify.com/v1/tracks/16Ekkvg5dxPVdDo5Ys30j8,https://api.spotify.com/v1/audio-analysis/16Ekkvg5dxPVdDo5Ys30j8,97587,4
0.572,0.376,3,-15.446,1,0.341,0.94,0.0,0.199,0.737,146.442,audio_features,0Qgc2XtzLSbLUeBFDK8X1R,spotify:track:0Qgc2XtzLSbLUeBFDK8X1R,https://api.spotify.com/v1/tracks/0Qgc2XtzLSbLUeBFDK8X1R,https://api.spotify.com/v1/audio-analysis/0Qgc2XtzLSbLUeBFDK8X1R,107627,4
0.758,0.379,10,-13.151,1,0.266,0.996,0.908,0.108,0.918,125.224,audio_features,1Nhcl8xD3be0KvSlhWkLru,spotify:track:1Nhcl8xD3be0KvSlhWkLru,https://api.spotify.com/v1/tracks/1Nhcl8xD3be0KvSlhWkLru,https://api.spotify.com/v1/audio-analysis/1Nhcl8xD3be0KvSlhWkLru,182707,4
0.386,0.332,7,-12.883,1,0.0318,0.871,0.0253,0.226,0.264,120.225,audio_features,2ok2k9RZWB9cZexVjIRp1q,spotify:track:2ok2k9RZWB9cZexVjIRp1q,https://api.spotify.com/v1/tracks/2ok2k9RZWB9cZexVjIRp1q,https://api.spotify.com/v1/audio-analysis/2ok2k9RZWB9cZexVjIRp1q,101747,4
0.873,0.331,3,-10.202,1,0.115,0.747,0.0,0.0833,0.914,81.754,audio_features,6261BWFNMFthTvODNb5k6O,spotify:track:6261BWFNMFthTvODNb5k6O,https://api.spotify.com/v1/tracks/6261BWFNMFthTvODNb5k6O,https://api.spotify.com/v1/audio-analysis/6261BWFNMFthTvODNb5k6O,58947,4
0.836,0.31,0,-11.176,1,0.0619,0.98,9.03e-05,0.178,0.889,116.928,audio_features,0qv3w2Nx84BQ14qEYLcNE6,spotify:track:0qv3w2Nx84BQ14qEYLcNE6,https://api.spotify.com/v1/tracks/0qv3w2Nx84BQ14qEYLcNE6,https://api.spotify.com/v1/audio-analysis/0qv3w2Nx84BQ14qEYLcNE6,159467,4
0.371,0.329,10,-12.617,1,0.0298,0.953,0.00607,0.137,0.508,76.629,audio_features,4aQCvhRC5hvi9P5b6vyOD9,spotify:track:4aQCvhRC5hvi9P5b6vyOD9,https://api.spotify.com/v1/tracks/4aQCvhRC5hvi9P5b6vyOD9,https://api.spotify.com/v1/audio-analysis/4aQCvhRC5hvi9P5b6vyOD9,56667,4
0.37,0.701,3,-10.202,1,0.0748,0.873,0.302,0.514,0.403,157.52,audio_features,09q6vBDL02gg8fkuBRqHgi,spotify:track:09q6vBDL02gg8fkuBRqHgi,https://api.spotify.com/v1/tracks/09q6vBDL02gg8fkuBRqHgi,https://api.spotify.com/v1/audio-analysis/09q6vBDL02gg8fkuBRqHgi,137160,4
0.666,0.854,10,-15.256,1,0.0749,0.618,0.0552,0.129,0.572,103.376,audio_features,2a92hkunZWkGRSmoPfCbdf,spotify:track:2a92hkunZWkGRSmoPfCbdf,https://api.spotify.com/v1/tracks/2a92hkunZWkGRSmoPfCbdf,https://api.spotify.com/v1/audio-analysis/2a92hkunZWkGRSmoPfCbdf,62573,4
0.331,0.169,9,-19.859,1,0.0325,0.994,0.886,0.121,0.258,97.836,audio_features,38EmZT3oWA6lJE0o4ajfG8,spotify:track:38EmZT3oWA6lJE0o4ajfG8,https://api.spotify.com/v1/tracks/38EmZT3oWA6lJE0o4ajfG8,https://api.spotify.com/v1/audio-analysis/38EmZT3oWA6lJE0o4ajfG8,253573,4
0.335,0.023,9,-26.922,1,0.0469,0.983,0.000143,0.0986,0.205,136.386,audio_features,2Rr5drmuGCScBpcPrRV3GP,spotify:track:2Rr5drmuGCScBpcPrRV3GP,https://api.spotify.com/v1/tracks/2Rr5drmuGCScBpcPrRV3GP,https://api.spotify.com/v1/audio-analysis/2Rr5drmuGCScBpcPrRV3GP,235333,4
0.224,0.0549,9,-25.496,1,0.0482,0.972,0.648,0.191,0.152,74.069,audio_features,4PAwFMCI2N0tPqAoX0lBnt,spotify:track:4PAwFMCI2N0tPqAoX0lBnt,https://api.spotify.com/v1/tracks/4PAwFMCI2N0tPqAoX0lBnt,https://api.spotify.com/v1/audio-analysis/4PAwFMCI2N0tPqAoX0lBnt,221160,3
0.302,0.113,7,-23.112,0,0.05,0.973,0.16,0.122,0.114,101.106,audio_features,5gMXd0U6mhIqZWLfkGil3X,spotify:track:5gMXd0U6mhIqZWLfkGil3X,https://api.spotify.com/v1/tracks/5gMXd0U6mhIqZWLfkGil3X,https://api.spotify.com/v1/audio-analysis/5gMXd0U6mhIqZWLfkGil3X,816373,4
0.29,0.0103,9,-27.556,0,0.0411,0.995,0.903,0.0847,0.177,86.957,audio_features,4hK86a7bxDHh9P0lYjr5Cp,spotify:track:4hK86a7bxDHh9P0lYjr5Cp,https://api.spotify.com/v1/tracks/4hK86a7bxDHh9P0lYjr5Cp,https://api.spotify.com/v1/audio-analysis/4hK86a7bxDHh9P0lYjr5Cp,193000,4
0.546,0.208,11,-17.524,0,0.0471,0.911,0.378,0.26,0.522,113.436,audio_features,5cEEpH9HicogiZOgrTAD0S,spotify:track:5cEEpH9HicogiZOgrTAD0S,https://api.spotify.com/v1/tracks/5cEEpH9HicogiZOgrTAD0S,https://api.spotify.com/v1/audio-analysis/5cEEpH9HicogiZOgrTAD0S,349320,4
0.409,0.17,4,-18.66,1,0.0527,0.955,0.00395,0.0933,0.138,119.808,audio_features,79qU3L24pfGDGuXAVshwaw,spotify:track:79qU3L24pfGDGuXAVshwaw,https://api.spotify.com/v1/tracks/79qU3L24pfGDGuXAVshwaw,https://api.spotify.com/v1/audio-analysis/79qU3L24pfGDGuXAVshwaw,209760,4
0.269,0.0653,2,-22.217,1,0.0439,0.876,0.0308,0.134,0.0834,105.839,audio_features,1btQUVMuLy6Sw4ysYHAOlY,spotify:track:1btQUVMuLy6Sw4ysYHAOlY,https://api.spotify.com/v1/tracks/1btQUVMuLy6Sw4ysYHAOlY,https://api.spotify.com/v1/audio-analysis/1btQUVMuLy6Sw4ysYHAOlY,1527680,4
0.504,0.152,7,-20.459,1,0.0507,0.989,0.188,0.0619,0.71,103.644,audio_features,0RZWGkO42cn850LbDQOy6R,spotify:track:0RZWGkO42cn850LbDQOy6R,https://api.spotify.com/v1/tracks/0RZWGkO42cn850LbDQOy6R,https://api.spotify.com/v1/audio-analysis/0RZWGkO42cn850LbDQOy6R,137765,4
0.448,0.109,5,-16.758,1,0.066,0.98,0.433,0.0467,0.351,99.479,audio_features,2IiG2gAULZhKiFRMtbO6n9,spotify:track:2IiG2gAULZhKiFRMtbO6n9,https://api.spotify.com/v1/tracks/2IiG2gAULZhKiFRMtbO6n9,https://api.spotify.com/v1/audio-analysis/2IiG2gAULZhKiFRMtbO6n9,226333,4
0.693,0.443,0,-10.114,1,0.0559,0.825,0.0,0.162,0.95,120.127,audio_features,1yTZjNU4R0pYNpXwyl37bE,spotify:track:1yTZjNU4R0pYNpXwyl37bE,https://api.spotify.com/v1/tracks/1yTZjNU4R0pYNpXwyl37bE,https://api.spotify.com/v1/audio-analysis/1yTZjNU4R0pYNpXwyl37bE,140413,4
